"Source:","/home/maina/Documents/KiCAD/NEW/3.7V Charger/3.7V Charger.sch"
"Date:","Thu 30 Dec 2021 07:06:47 PM EAT"
"Tool:","Eeschema 5.1.12-84ad8e8a86~92~ubuntu20.04.1"
"Component Count:","10"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"Charging1","LED","LED_THT:LED_D5.0mm","~","",""
"D2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"D4","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"Full1","LED","LED_THT:LED_D5.0mm","~","",""
"J1(5V_IN)1","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J2","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","",""
"R1","220R","Resistor_SMD:R_1812_4532Metric","~","",""
"R2","430R","Resistor_SMD:R_1812_4532Metric","~","",""
"R3","330R","Resistor_SMD:R_1812_4532Metric","~","",""
